lab_ID,Animal ID,Histo_ID,intervention_group,diet,group,DOB,Start Diet,Start Breeding,Number_pregnancy,Number_offspring,Number_offspring_alive,nonfasting_glycemia,fasting_glycemia,fat_mass,lean_mass,free_water,sacrifice_date,body_weight,liver_weight,Comment_sacrifice,MatureCorpusLutea_Ovary_1,MatureCorpusLutea_Ovary_2,MatureCL,MatureGraafianFoll_Ovary_1,MatureGraafianFoll_Ovary_2,MatureFoll,EndometrialThickness
1,TOS-010292,22TOS39,1,HFD,FGF21,1/20/2021,2/24/2021,6/21/2021,0,0,0,7.2,8.5,24.129,19.65,0,9/29/2021,45.6,2.32,,0,0,0,0,0,0,426
2,TOS-010293,22TOS40,3,HFD,FGF21,1/20/2021,2/24/2021,6/21/2021,1,3,0,7.2,6.3,14.127,21.702,0.137,9/20/2021,34.4,1.75,,4,2,3,1,0,0.5,NA
3,TOS-010294,22TOS41,2,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,0,0,0,7.2,8.4,20.899,19.444,0.972,9/29/2021,44.7,2.1,Osmotic pump removed,4,3,3.5,0,0,0,306
4,TOS-010295,22TOS42,1,HFD,FGF21,1/20/2021,2/24/2021,6/21/2021,0,0,0,9.9,6.4,13.794,20.191,0,9/16/2021,31.12,1.41,Severe Dermatitis,0,0,0,0,0,0,233
5,TOS-010296,22TOS43,2,HFD,FGF21,1/20/2021,2/24/2021,6/21/2021,0,0,0,6.9,6.9,11.262,31.211,1.331,9/17/2021,32.9,1.64,,NA,NA,NA,NA,NA,NA,225
6,TOS-010297,22TOS44,3,HFD,FGF21,1/20/2021,2/24/2021,6/21/2021,1,3,0,7.4,8.7,9.443,19.741,0.057,9/16/2021,29.17,1.38,Dermatitis,1,1,1,0,0,0,192
8,TOS-010299,22TOS45,5.1,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,1,3,3,7.3,7,11.589,21.22,0,10/22/2021,35.2,2.1,,2,1,1.5,0,0,0,270
9,TOS-010300,22TOS46,5,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,1,6,6,9.5,6.5,12.588,21.858,0.22,10/20/2021,36.4,2.1,,4,0,2,2,1,1.5,308
10,TOS-010301,22TOS47,4,HFD,FGF21,1/20/2021,2/24/2021,6/21/2021,0,0,0,8.2,5.7,1.689,29.011,1.027,9/16/2021,30.3,1.99,5.3g uterine tumor,1,0,0.5,0,0,0,NA
11,TOS-010302,22TOS48,4,HFD,FGF21,1/20/2021,2/24/2021,6/21/2021,0,0,0,8.2,7.6,21.28,21.002,0,9/17/2021,42.3,1.68,In utero pregnancy (7x),1,3,2,0,0,0,522
12,TOS-010303,22TOS49,5,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,1,6,6,7.8,6.3,21.932,19.91,0.104,10/20/2021,43.8,1.7,,3,NA,3,1,NA,1,NA
