animal_id,cage,lab_id,mark,diet,group,start_diet,dob,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14
TOS-010292,ETOS-001015,1,Right Post,HFD,Cage_1,24.02.2021,20.01.2021,16,17.9,18.6,20.7,20.3,21.6,22.9,23.4,24,26.2,25.5,28.1,29.8,32.6,30.8
TOS-010293,ETOS-001015,2,Right Middle,HFD,Cage_1,24.02.2021,20.01.2021,12,14.6,16.1,18.5,18.9,20.1,21.1,22.8,24.2,26.3,26.7,27.6,28.2,30.2,32.1
TOS-010294,ETOS-001015,3,Right Ant,HFD,Cage_1,24.02.2021,20.01.2021,15,16.7,17.1,18.9,19.2,21.3,22.9,23.8,25.3,27.2,27.3,28.6,31.7,33.2,34.9
TOS-010295,ETOS-001015,4,Left Post,HFD,Cage_1,24.02.2021,20.01.2021,15,18.9,21.4,23.7,23,25.2,26,28.3,30.2,32,31,33.4,34.1,36,37.8
TOS-010296,ETOS-001015,5,Left Middle,HFD,Cage_1,24.02.2021,20.01.2021,14,16.1,17.7,18,19.7,20,21.3,23.7,20.7,23,22.8,23.7,26.1,25.1,28.7
TOS-010297,ETOS-001015,6,Left Ant,HFD,Cage_1,24.02.2021,20.01.2021,14,16.4,17.4,18.9,20.2,21.4,22.4,23.5,24.4,26.74,25.2,26.5,28.4,30.1,31.1
TOS-010298,ETOS-001016,7,Right Post,HFD,Cage_2,24.02.2021,20.01.2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOS-010299,ETOS-001016,8,Right Middle,HFD,Cage_2,24.02.2021,20.01.2021,14,15.8,16.8,17.7,17.8,18.9,20.2,19.8,20.5,21,20.8,21,21.3,22,22.5
TOS-010300,ETOS-001016,9,Right Ant,HFD,Cage_2,24.02.2021,20.01.2021,14,16.8,17.2,18.8,19.2,20,21.3,22,23.1,23.2,22.7,24.3,26.15,26.3,28.2
TOS-010301,ETOS-001016,10,Left Post,HFD,Cage_2,24.02.2021,20.01.2021,15,17.8,18.5,20.2,20.5,21.9,23.4,25.1,26.1,28.2,28.9,30.3,32.9,35.1,36.4
TOS-010302,ETOS-001016,11,Left Middle,HFD,Cage_2,24.02.2021,20.01.2021,16,18.6,19.9,23.1,23.4,25,25.5,26.2,26.9,27.3,28.3,29,31.4,32.6,34.3
TOS-010303,ETOS-001016,12,Left Ant,HFD,Cage_2,24.02.2021,20.01.2021,17,19.5,21.1,23.3,25.1,26.2,26.3,28,30.6,27.4,29.1,29.6,31.3,30.6,33.8
