,Image,count,sum,mean
1,22TOS40.czi - Scene #1,5,545507.7,109101.54
2,22TOS40.czi - Scene #2,2,325381.7,162690.85
3,22TOS41.czi - Scene #1,4,466462.4,116615.6
4,22TOS41.czi - Scene #2,3,280797.5,93599.16667
5,22TOS44.czi - Scene #2,1,109134.6,109134.6
6,22TOS44.czi - Scene #3,1,67066.1,67066.1
7,22TOS45.czi - Scene #1,2,213762.9,106881.45
8,22TOS45.czi - Scene #2,2,228438.4,114219.2
9,22TOS46.czi - Scene #1,8,718296.6,89787.075
10,22TOS47.czi - Scene #1,3,531254.9,177084.9667
11,22TOS47.czi - Scene #2,2,270850.1,135425.05
12,22TOS48.czi - Scene #2,2,381870.5,190935.25
13,22TOS48.czi - Scene #3,3,421953.6,140651.2
14,22TOS49.czi,1,53698.2,53698.2
15,22TOS50.czi - Scene #1,9,1602245.1,178027.2333
16,22TOS50.czi - Scene #3,3,459770.1,153256.7
17,22TOS51.czi - Scene #1,5,2288085.6,457617.12
18,22TOS51.czi - Scene #2,4,1834154.5,458538.625
19,22TOS52.czi - Scene #1,5,2306606.4,461321.28
20,22TOS52.czi - Scene #2,6,2859222.8,476537.1333
21,22TOS53.czi - Scene #2,1,108025.9,108025.9
22,22TOS54.czi - Scene #2,5,1106429.4,221285.88
23,22TOS54.czi - Scene #3,2,1104145.1,552072.55
24,22TOS55.czi - Scene #2,3,188832.2,62944.06667
25,22TOS55.czi - Scene #3,2,161929.5,80964.75
26,22TOS56.czi - Scene #2,4,616493.8,154123.45
27,22TOS56.czi - Scene #3,3,346876.7,115625.5667
28,22TOS57.czi - Scene #1,1,103559.3,103559.3
29,22TOS57.czi - Scene #2,5,538177.5,107635.5
30,22TOS58.czi - Scene #1,4,375097.2,93774.3
31,22TOS58.czi - Scene #2,2,82187.9,41093.95
32,22TOS59.czi - Scene #2,5,411445.8,82289.16
33,22TOS59.czi - Scene #3,6,683982.5,113997.0833
