Image,Name,Area µm^2
#2 - TOS10293.czi,Steatosis,763257.5
#2 - TOS10293.czi,Tissue,15100159.4
#3 - TOS10294.czi,Tissue,13860817.4
#3 - TOS10294.czi,Steatosis,950728
#4 - TOS10295.czi,Tissue,4693970.5
#4 - TOS10295.czi,Steatosis,249695.2
#5 - TOS10296.czi,Tissue,13877660.6
#5 - TOS10296.czi,Steatosis,420979.8
#6 - TOS10297.czi,Tissue,11033752.3
#6 - TOS10297.czi,Steatosis,351664
#8 - TOS10299.czi,Tissue,8332990.1
#8 - TOS10299.czi,Steatosis,122792
#9 - TOS10300.czi,Tissue,11254951.1
#9 - TOS10300.czi,Steatosis,726772.4
#10 - TOS10301.czi,Tissue,11949855.9
#10 - TOS10301.czi,Steatosis,6410.5
#11 - TOS10302.czi,Tissue,15622613.4
#11 - TOS10302.czi,Steatosis,884755.8
#12 - TOS10303.czi,Tissue,9402848.9
#12 - TOS10303.czi,Steatosis,301841.6
#13 - TOS10304.czi,Tissue,12251390.8
#13 - TOS10304.czi,Steatosis,403674.4
#14 - TOS10305.czi,Tissue,6208029.9
#14 - TOS10305.czi,Steatosis,101557.5
#15 - TOS10306.czi,Tissue,18905083.5
#15 - TOS10306.czi,Steatosis,891218.2
#17 - TOS10308.czi,Tissue,14063564.3
#17 - TOS10308.czi,Steatosis,383839.6
#18 - TOS-10309.czi,Tissue,12620637.6
#18 - TOS-10309.czi,Steatosis,603438.1
#19 - TOS10310.czi,Tissue,14801331.6
#19 - TOS10310.czi,Steatosis,173384.8
#20 - TOS10311.czi,Tissue,10737148.9
#20 - TOS10311.czi,Steatosis,154479.6
#21 - TOS10312.czi,Tissue,16855919.2
#21 - TOS10312.czi,Steatosis,66263.4
#23 - TOS10314.czi,Tissue,14125219.4
#23 - TOS10314.czi,Steatosis,179009.9
#24 - TOS10315.czi,Tissue,10059184.5
#24 - TOS10315.czi,Steatosis,139965.8
#1 - TOS10292.czi,Tissue,16970883.1
#1 - TOS10292.czi,Steatosis,814107.4
